region,suburb,occupation,occupation_count_2041
Brisbane Inner City,Albion,Specialist Managers,320
Brisbane Inner City,Albion,"Business, Human Resource and Marketing Professionals",306
Brisbane Inner City,Albion,ICT Professionals,267
Brisbane Inner City,Alderley,Specialist Managers,436
Brisbane Inner City,Alderley,"Business, Human Resource and Marketing Professionals",379
Brisbane Inner City,Alderley,ICT Professionals,324
Brisbane - South,Algester,Carers and Aides,416
Brisbane - South,Algester,"Business, Human Resource and Marketing Professionals",395
Brisbane - South,Algester,Specialist Managers,287
Brisbane - South,Annerley,Carers and Aides,596
Brisbane - South,Annerley,Specialist Managers,591
Brisbane - South,Annerley,ICT Professionals,578
Brisbane Inner City,Ascot,"Business, Human Resource and Marketing Professionals",451
Brisbane Inner City,Ascot,Specialist Managers,392
Brisbane Inner City,Ascot,"Design, Engineering, Science and Transport Professionals",247
Brisbane Inner City,Ashgrove,Specialist Managers,961
Brisbane Inner City,Ashgrove,"Business, Human Resource and Marketing Professionals",795
Brisbane Inner City,Ashgrove,Education Professionals,663
Brisbane - North,Aspley,Carers and Aides,646
Brisbane - North,Aspley,"Business, Human Resource and Marketing Professionals",619
Brisbane - North,Aspley,Specialist Managers,599
Brisbane Inner City,Auchenflower,"Business, Human Resource and Marketing Professionals",439
Brisbane Inner City,Auchenflower,Specialist Managers,411
Brisbane Inner City,Auchenflower,ICT Professionals,384
Brisbane - North,Bald Hills,Carers and Aides,349
Brisbane - North,Bald Hills,Sales Assistants and Salespersons,252
Brisbane - North,Bald Hills,Specialist Managers,234
Brisbane Inner City,Balmoral,Specialist Managers,325
Brisbane Inner City,Balmoral,"Business, Human Resource and Marketing Professionals",283
Brisbane Inner City,Balmoral,"Design, Engineering, Science and Transport Professionals",181
Brisbane Inner City,Bardon,Specialist Managers,761
Brisbane Inner City,Bardon,"Business, Human Resource and Marketing Professionals",579
Brisbane Inner City,Bardon,ICT Professionals,494
Brisbane - West,Bellbowrie - Moggill,"Design, Engineering, Science and Transport Professionals",437
Brisbane - West,Bellbowrie - Moggill,Specialist Managers,396
Brisbane - West,Bellbowrie - Moggill,Education Professionals,392
Brisbane - East,Belmont - Gumdale,Specialist Managers,374
Brisbane - East,Belmont - Gumdale,Health Professionals,306
Brisbane - East,Belmont - Gumdale,"Business, Human Resource and Marketing Professionals",232
Brisbane - North,Boondall,Carers and Aides,369
Brisbane - North,Boondall,"Business, Human Resource and Marketing Professionals",338
Brisbane - North,Boondall,Specialist Managers,285
Brisbane - North,Bracken Ridge,Carers and Aides,1157
Brisbane - North,Bracken Ridge,"Business, Human Resource and Marketing Professionals",789
Brisbane - North,Bracken Ridge,Specialist Managers,728
Brisbane - North,Bridgeman Downs,Specialist Managers,923
Brisbane - North,Bridgeman Downs,Carers and Aides,458
Brisbane - North,Bridgeman Downs,"Business, Human Resource and Marketing Professionals",314
Brisbane - North,Brighton (Qld),"Business, Human Resource and Marketing Professionals",315
Brisbane - North,Brighton (Qld),Protective Service Workers,310
Brisbane - North,Brighton (Qld),Specialist Managers,293
Brisbane - North,Brisbane Airport,Road and Rail Drivers,17
Brisbane - North,Brisbane Airport,Carers and Aides,16
Brisbane - North,Brisbane Airport,"Chief Executives, General Managers and Legislators",5
Brisbane Inner City,Brisbane City,ICT Professionals,2318
Brisbane Inner City,Brisbane City,Specialist Managers,1839
Brisbane Inner City,Brisbane City,"Business, Human Resource and Marketing Professionals",1612
Brisbane - East,Brisbane Port - Lytton,Arts and Media Professionals,0
Brisbane - East,Brisbane Port - Lytton,Automotive and Engineering Trades Workers,0
Brisbane - East,Brisbane Port - Lytton,"Business, Human Resource and Marketing Professionals",0
Brisbane - West,Brookfield - Kenmore Hills,Specialist Managers,508
Brisbane - West,Brookfield - Kenmore Hills,ICT Professionals,441
Brisbane - West,Brookfield - Kenmore Hills,Health Professionals,370
Brisbane Inner City,Bulimba,Specialist Managers,661
Brisbane Inner City,Bulimba,"Business, Human Resource and Marketing Professionals",464
Brisbane Inner City,Bulimba,"Design, Engineering, Science and Transport Professionals",273
Brisbane - South,Calamvale - Stretton,"Business, Human Resource and Marketing Professionals",1281
Brisbane - South,Calamvale - Stretton,Carers and Aides,970
Brisbane - South,Calamvale - Stretton,Specialist Managers,857
Brisbane - South,Camp Hill,Specialist Managers,830
Brisbane - South,Camp Hill,"Business, Human Resource and Marketing Professionals",579
Brisbane - South,Camp Hill,Education Professionals,393
Brisbane - South,Cannon Hill,Specialist Managers,345
Brisbane - South,Cannon Hill,"Business, Human Resource and Marketing Professionals",254
Brisbane - South,Cannon Hill,ICT Professionals,223
Brisbane - South,Carina,Specialist Managers,619
Brisbane - South,Carina,"Business, Human Resource and Marketing Professionals",475
Brisbane - South,Carina,Carers and Aides,399
Brisbane - South,Carina Heights,Specialist Managers,312
Brisbane - South,Carina Heights,ICT Professionals,295
Brisbane - South,Carina Heights,Carers and Aides,283
Brisbane - South,Carindale,Specialist Managers,1015
Brisbane - South,Carindale,"Business, Human Resource and Marketing Professionals",792
Brisbane - South,Carindale,ICT Professionals,569
Brisbane - North,Carseldine,Specialist Managers,482
Brisbane - North,Carseldine,"Business, Human Resource and Marketing Professionals",393
Brisbane - North,Carseldine,Carers and Aides,348
Brisbane - West,Chapel Hill,ICT Professionals,1121
Brisbane - West,Chapel Hill,Specialist Managers,977
Brisbane - West,Chapel Hill,Education Professionals,618
Brisbane - West,Chelmer - Graceville,Specialist Managers,629
Brisbane - West,Chelmer - Graceville,ICT Professionals,384
Brisbane - West,Chelmer - Graceville,"Business, Human Resource and Marketing Professionals",344
Brisbane - North,Chermside,Carers and Aides,901
Brisbane - North,Chermside,"Business, Human Resource and Marketing Professionals",448
Brisbane - North,Chermside,ICT Professionals,440
Brisbane - North,Chermside West,Carers and Aides,413
Brisbane - North,Chermside West,Specialist Managers,289
Brisbane - North,Chermside West,Education Professionals,277
Brisbane Inner City,Clayfield,"Business, Human Resource and Marketing Professionals",721
Brisbane Inner City,Clayfield,Specialist Managers,638
Brisbane Inner City,Clayfield,"Design, Engineering, Science and Transport Professionals",449
Brisbane - South,Coopers Plains,Carers and Aides,310
Brisbane - South,Coopers Plains,"Business, Human Resource and Marketing Professionals",206
Brisbane - South,Coopers Plains,"Design, Engineering, Science and Transport Professionals",170
Brisbane - South,Coorparoo,"Business, Human Resource and Marketing Professionals",994
